system:index,LST_Celsius,date,.geo
2020_02_26,32.00818550021694,2020-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_05,31.79532322520828,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_13,33.16669151167423,2020-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_21,33.64539516375231,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_29,34.26771502440715,2020-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_06,33.41779750792665,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_14,32.39526715956356,2020-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_22,29.411741226716686,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_30,30.47736945661063,2020-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_08,30.287458099517835,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_16,21.065142203334403,2020-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_24,29.889055561833402,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_01,28.65162812472397,2020-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_09,26.31311953523857,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_17,29.750700434104203,2020-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_25,25.953346357268686,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_03,29.64423481437052,2020-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_11,24.447702484672504,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_19,29.9829007676625,2020-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_27,29.24002689977698,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_04,,2020-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_12,24.794618271695413,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_20,29.109268165838216,2020-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_28,30.42166560192271,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_05,24.470952380952383,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_13,27.06937605562507,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_21,28.059385363896297,2020-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_29,29.761020440215418,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_07,27.12210526315795,2020-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_15,29.675012019830774,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_23,30.30288066406888,2020-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_31,30.641050296869878,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_08,31.585080690612756,2020-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_16,30.12198765958948,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_24,29.807910652432554,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_02,30.132358235391052,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_10,30.038300436241173,2020-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_18,29.62411350617606,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_26,30.288533857493064,2020-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_01,30.57939011899589,2021-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,30.581622058967525,2021-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,30.102803373729103,2021-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
